title,content
"학사경고 취업,편입에 문제되나요?","신입인데 1학기에 학고받을거같습니다(학교를 못나감)그리고 2학기 휴학할건데취업,편입에 문제될수있을까요?편입은 문제될거같은데 학점은행제로하면상관없죠?"
토스와 오픽 중 어떤 게 더 취업에 유리할까요?,"취업 준비하면서 토스와 오픽 중 어떤 시험을 봐야 할지 고민 중입니다. 두 시험 다 장단점이 있는 것 같은데, 실제 취업 시장에서 어떤 게 더 유리하게 작용하는지 궁금해요. 특히 제가 지원하려는 분야는 외국계 기업 쪽인데, 토스만 있어도 충분할지 아니면 오픽 점수도 같이 준비해야 할지 고민입니다. 실제로 면접 보셨거나 서류 넣어보신 분들, 어떤 시험 점수가 더 도움이 되었는지 경험담 듣고 싶어요. 둘 다 준비하는 게 현실적으로 가능할지도 조언 부탁드립니다!"
절도죄 기소유예 되었는데 어린이집 취업 되나요?,"25년도에 절도죄로 기소유예형을 받았습니다.  올해 어린이집 취업을 하고자 하는데 ""성범죄경력 및 아동학대범죄전력조회회신서""를 기관에서 온라인으로 발급을 할 예정입니다.제가 알고 싶은 내용은 단, 두 가지 입니다. 1. 성범죄경력 및 아동학대범죄전력조회회신서에 절도죄 기소유예에 대한 내용이 확인이 되나요?2. 어린이집에 취업하고자 할 때 절도죄 기소유예로 인해 취업제한에 체크 표시가 되어 출력이 될까요?어떤 지식인 답변에서는 절도죄는 취업제한에 포함 안된다고 하는 답변도 있고, 어떤 답변은 절도죄는 아동학대범죄경력에 포함된다는 답변도 있어서 정확히 알고자 질문 남깁니다."
국민취업지원제도는 어떻게 진행을 하나요?,"지인이 알려줘서 국민취업지원제도를 알게 되었습니다. 저도 국민취업지원제도를 통해 지인처럼 배워보려고 하는데 이야기를 들어봐도어려운 것 같더군요. 하려면 어떻게 해야 하는지, 문의 해볼 수 있는 곳은 어디인가요?"
"취업해야 하는데, 손떨림 목소리떨림이 걱정될 수준이에요.(노원구 본태성진전)","노원구 20대 중반/여 본태성진전대학 졸업하고 취업준비 중인 여자인데요. 원래부터 저만 살짝 느낄 정도의 손떨림이 좀 있었어요. 근데 작년에 졸업하고 뜻대로 취업이 안 풀리면서 스트레스 받고 그래서 그런지, 떨림이 조금 더 심해졌습니다. 요즘은 목소리까지 떨리는 것 같아요. 호흡이 힘이 안 실리는 느낌이 들면서요. 취업 시험도 보고 면접도 보고 해야할 텐데, 그런 상상만 해도 미리부터 더 긴장되고 떨립니다. 누구는 정신과에 가보라고 하는데, 정신과 치료받으면 취업에 영향있는게 아닌가 걱정도 되고, 정말 어떻게 해야 극복할 수 있을까요?"
파산하고 면책받으면 취업하는데 문제 없나요?,부모님때문에 빚이 생겼는데 갚을 능력이 없어 파산하게 되었습니다. 그래서 이제 면책기다리고 있는데 면책 받으면 일반사람들처럼 취업이 가능할까요?대기업이나 중견기업들도 취업할 수 있는지 궁금합니다
연말정산 취업한 자녀 부양가족 중복공제,제가 작년 말에 취업을 해서 올해부터 연말정산을 해야 합니다근데 아버지께서 부양가족에서 저를 빼는 걸 까먹고 연말정산을 이미 마쳐버리셨다고 하네요어머니 말씀으로는 올해는 제 연말정산을 그냥 넘겨버리고 내년부터 하면 된다는데 괜찮은 방법 맞나요?제 회사에는 뭐라고 말해야 하나요?안될 경우 제 연말정산도 정상적으로 진행한 뒤 나중에 바로잡을 수 있는 기회가 있을까요?
음주운전으로 미국취업비자 발급이 안되나요?,저는 지금 미국취업준비중입니다..음주운전으로 비자발급이 안될수도 있다고해서 문의드립니다..저는 2014년에 음주면허취소를 벌금형을 받았고 2019년에 100일면허정지 벌금형을 받았습니다..그때부터 횟수로 7년지난 상태이고 그이후 음주운전으로 처벌받은적은 없습니다..위에 벌금형으로 취업비자 발급이 안될수도 있는지 문의드립니다.﻿
"34살에 건축,건설안전 쌍기사 취업 가능한가요?",93년생이구...건축기사건설안전기사 취득 상태이고 경력은 없습니다.현실적으로 취업이 가능할까요?머하고 먹고 살지도 뒤늦게 철들어서 걱정이네요.
파산신청하면 공공기관 취업에 문제가 생길까요?,"현재 공공기관에서 일하고 있는데, 만약 파산신청을 하게 되면 혹시 제 취업 상태나 직장 생활에 영향을 미치게 될까요? 파산신청 후에 공공기관에서 계속 일할 수 있는지, 아니면 다른 직업으로 전환해야 하는지 고민이 많습니다. 혹시 비슷한 경험 있으신 분이나 법률적인 조언 주실 수 있는 분 계시면 도움 부탁드립니다."
